,district,EducationScore,GenderParityScore,HDI,Census_Overall,Achievement striving,Activity level,Adventurousness,Agreeableness,Altruism,Anger,Anxiety,Artistic interests,Assertiveness,Cautiousness,Challenge,Cheerfulness,Closeness,Conscientiousness,Conservation,Cooperation,Curiosity,Depression,Dutifulness,Emotional range,Emotionality,Excitement,Excitement-seeking,Extraversion,Friendliness,Gregariousness,Harmony,Hedonism,Ideal,Imagination,Immoderation,Intellect,Liberalism,Liberty,Love,Modesty,Morality,Openness,Openness to change,Orderliness,PostiveSentiment,Practicality,Self-consciousness,Self-discipline,Self-efficacy,Self-enhancement,Self-expression,Self-transcendence,Stability,Structure,Sympathy,Trust,Vulnerability,tTotalRetweetCount,uFollowersCount
0,rajanpur,47.81,56.29,0.635,1103618.0,0.418133759364,0.0825788382275,0.751270812958,0.10056880935,0.147970394776,0.333883138366,0.396866172,0.304994365053,0.445841847633,0.402912950327,0.764508339625,0.18512908084,0.543053439235,0.497228640171,0.387667044829,0.195371003623,0.665748077246,0.531088813006,0.178340743025,0.372406463795,0.22614973695,0.423751446611,0.400830841547,0.389344304156,0.11225818675,0.279110961949,0.162759765999,0.41459504241,0.767925483442,0.87428611728,0.397926599066,0.779522408205,0.702877287167,0.32761012685,0.132270660518,0.101758530488,0.0709560060271,0.788875639253,0.559714633675,0.144558182316,0.130801152738,0.141644482243,0.205828243963,0.481751350532,0.280280056273,0.258365760586,0.300722591446,0.748229562607,0.550461121577,0.518405655877,0.217240351354,0.103411839835,0.285851693285,0.0172910662824,26.6570605187
1,chiniot,66.28,66.29,,965124.0,0.603600715924,0.120200544429,0.836070133845,0.0707204504669,0.0710717725856,0.289700648541,0.369309252327,0.198145327875,0.279654430047,0.486155855751,0.707584559991,0.0900572593574,0.438063444691,0.555970100711,0.52130927737,0.183464315387,0.63214612096,0.570745371698,0.13164382675,0.39578520226,0.13074775028,0.27486913584,0.276035421246,0.223509725904,0.0697310353308,0.169962490925,0.161713935765,0.314522438241,0.771787512987,0.911056320823,0.400555471341,0.861076657866,0.850535817654,0.215341897863,0.126157848253,0.106853230721,0.0583537885456,0.867948643384,0.341184869956,0.118513752958,0.138231404959,0.130268193799,0.257785054786,0.504461909417,0.208242512663,0.646152386744,0.33368873156,0.356705904781,0.432709036413,0.483549906447,0.202831641684,0.0983790857087,0.303236182917,0.0335743801653,150.023243802
2,bhakkar,71.68,71.48,0.7,1051456.0,0.829236439427,0.0323814590846,0.934115013026,0.0603764889662,0.0625146020168,0.0995965332696,0.277537391079,0.188998144545,0.143454604779,0.566782961531,0.709304531597,0.0646669770036,0.14659377804,0.76475069054,0.836790145098,0.103351536989,0.631997159363,0.369962446431,0.0885438844997,0.233748707581,0.0616676156749,0.0758720846523,0.164388187278,0.102501347567,0.0607596415082,0.101523282944,0.0511879139973,0.183818449019,0.863180570701,0.943485859897,0.355092975888,0.901776523335,0.916199690084,0.0573058100212,0.0422532177765,0.0527308976075,0.0533682593479,0.92656710338,0.0940257427094,0.0567286094435,0.0944615384615,0.0404889368773,0.0981034088745,0.771392767133,0.135723555496,0.753633074531,0.168935713729,0.174140728039,0.169551113767,0.218867336039,0.0479706651555,0.0707475315202,0.220971588031,0.00735294117647,488.087669683
3,mianwali,67.88,76.96,0.682,1056620.0,0.664637014244,0.0852432497907,0.794220927099,0.151347360436,0.173565803075,0.24625140747,0.368581319473,0.294336722712,0.386011994726,0.46938035788,0.57449366955,0.189215950799,0.370275401713,0.614351846098,0.443648007048,0.222275667658,0.55333674748,0.454239226579,0.198622252808,0.340606582456,0.181220897731,0.220999666924,0.336417811688,0.278211577716,0.142671737452,0.283697769061,0.160554639683,0.390510348052,0.763064539785,0.800413159181,0.382898257318,0.770189903892,0.751287718545,0.178328361648,0.117854130917,0.140775572529,0.116877841447,0.770611213537,0.324728339448,0.192740176613,0.123846607109,0.137202934009,0.174864125205,0.630179391309,0.278226375842,0.576304089486,0.16459236553,0.450697340247,0.329789946206,0.357136318113,0.184327812819,0.160047274321,0.345716278697,0.039536209846,81.178863334
4,khushab,67.5,82.31,0.685,905711.0,0.915680864279,0.169248243607,0.969647899778,0.025656838336,0.0784629319409,0.0505863020353,0.140524126387,0.297659634582,0.0566857651059,0.862791103181,0.562115306706,0.0163045467029,0.0923578628599,0.882302609957,0.870085772863,0.505916694882,0.510782553848,0.158577985118,0.262695636077,0.145691386637,0.0200461518164,0.0493300616281,0.0597943386903,0.0375869151977,0.0211129599328,0.0331884638895,0.0200919844389,0.120104298697,0.611121241339,0.978778830749,0.211674129436,0.963429475159,0.971873253476,0.0255014134194,0.0205339443797,0.0376382334002,0.147726875486,0.968841173058,0.0961241193931,0.0279290814977,0.084018972332,0.0278946728127,0.167708716409,0.855945218328,0.43815369338,0.869576365162,0.23071171407,0.0815741698571,0.143614169068,0.393922897359,0.111415892507,0.460649368092,0.123346588387,0.0110671936759,492.174703557
5,bahawalpur,61.49,83.38,0.618,2433091.0,0.770746063739,0.0640728070995,0.881759595862,0.0748532743745,0.101692175215,0.1481951528,0.30187505694,0.513860611038,0.251797294802,0.436654883525,0.440933238737,0.118845900506,0.277398992806,0.706859890679,0.705115505296,0.176561677337,0.648074987279,0.407048607387,0.155101285187,0.245870273926,0.110056184841,0.226488755653,0.374577877046,0.209117408098,0.0910788343662,0.204017212874,0.060257156649,0.467561013178,0.829921692331,0.930192156359,0.373306051064,0.843063154896,0.831888646833,0.122304270842,0.0482405550077,0.0647576357364,0.0513846287602,0.874013369208,0.224509394504,0.0498748493873,0.130790021797,0.0463712097144,0.217091479902,0.741386161001,0.186996795584,0.748049319034,0.644612949651,0.218699056524,0.351957579519,0.460498065477,0.132937002826,0.0982651419413,0.216345059649,0.00775006054735,1577.51852749
6,multan,67.78,85.71,0.644,3116851.0,0.609100262159,0.0747603134062,0.861833351028,0.0763143773132,0.101001331547,0.242490168488,0.290466034894,0.203952420552,0.346750153793,0.513284832361,0.665896902588,0.10533284549,0.405596714071,0.584519580527,0.486249767336,0.167954920963,0.572233957197,0.472446253925,0.120562459966,0.313480082068,0.11696841231,0.278664108763,0.301591212307,0.213226788836,0.0981552972596,0.176079392293,0.143302130716,0.240294024644,0.730785809153,0.92067043398,0.338843319468,0.884027902015,0.84931869815,0.202405601925,0.128027101997,0.0653536205778,0.0570280753877,0.879813566185,0.347079230001,0.0706527956429,0.111465769456,0.128016536484,0.163821659818,0.556613778016,0.319046047543,0.552991723029,0.201458938783,0.481436518863,0.394950889457,0.42635542514,0.272952110944,0.111800266168,0.225984942517,0.0672908133411,114.662960796
7,khanewal,71.81,86.92,0.667,2068490.0,0.564195456794,0.142710227424,0.753968896972,0.162394245222,0.111804031437,0.325060988955,0.394427868772,0.258742609752,0.413626502618,0.458318364158,0.653496037755,0.214251321906,0.516492795642,0.538801959716,0.552022169953,0.260764118954,0.631320240084,0.528838719935,0.125695721215,0.389976978482,0.233354429316,0.424134277703,0.427497837801,0.311505141241,0.187105739991,0.292327713756,0.240089927043,0.308622273226,0.745038680804,0.824935302428,0.471553024238,0.747152751815,0.732797772703,0.348254946106,0.214044267027,0.155310815417,0.101618259943,0.755875193153,0.311962665167,0.162717231818,0.136555137845,0.203662901562,0.22306680384,0.554908490912,0.227423440069,0.471847134382,0.377461665235,0.414561496696,0.506183802374,0.544558944255,0.154098144504,0.20166306021,0.309890523636,0.00250626566416,62.7731829574
8,lodhran,67.33,87.37,0.614,1171800.0,0.637509978968,0.0353314552095,0.847875338607,0.0595411457172,0.0750373608317,0.243799784523,0.361052050458,0.123727881531,0.313129849188,0.522533410996,0.718161921586,0.0804946989793,0.316380544603,0.60350137897,0.57397086931,0.173920691928,0.614835604736,0.507715940118,0.103845587733,0.370794355579,0.097149781068,0.15487782621,0.248582743729,0.188393335745,0.0680925473942,0.15660753855,0.128011144556,0.2125568092,0.777900544665,0.917239835424,0.378656743775,0.885785505071,0.864749792783,0.125925503563,0.0922406324049,0.0539678951184,0.0438425037415,0.873577121114,0.17619887113,0.073598797232,0.0962517361111,0.0979951721324,0.217848002062,0.539693005367,0.16319108175,0.699803641803,0.118720334041,0.418935033193,0.299401494212,0.291101486624,0.166841954408,0.0954968503606,0.336130862686,0.0173611111111,147.211805556
9,lahore,84.12,92.61,0.806,6318745.0,0.500303726696,0.04460226199,0.687628137124,0.220558704649,0.199794443547,0.362812244257,0.443544812144,0.0952768885108,0.453997173723,0.440834963656,0.52059486577,0.197256587229,0.264610424073,0.45406106574,0.581122476296,0.246992024446,0.571656970871,0.555114296236,0.180632332469,0.453886702826,0.211723842795,0.12583889422,0.319070098019,0.301680301023,0.206126971645,0.157740476109,0.230853596161,0.22270035594,0.677284296884,0.761414857982,0.490752593472,0.766399690843,0.758752716682,0.0997621697799,0.224798037792,0.0458643671206,0.21030750586,0.726107984454,0.275253627371,0.247079185548,0.111242965368,0.232104941645,0.311930246118,0.42404302177,0.240521197323,0.528463013122,0.15471587035,0.55420806078,0.241495931671,0.240239508813,0.226728235899,0.199360296938,0.458149611718,0.0167748917749,97.3446969697
